cluster,min_bmi,max_bmi,mean_bmi,count,qualification_rate,optimal_gest_week,k_value,epsilon
1,20.703125,46.875,32.343754647754096,423,0.8250591016548463,10.1,5,12.386676431849951
2,29.296875,46.875,33.293925708333326,24,0.5,11.2,5,12.386676431849951
1,20.703125,46.875,32.343754647754096,423,0.8250591016548463,10.1,6,12.403201107216143
2,29.296875,46.875,33.293925708333326,24,0.5,11.2,6,12.403201107216143
1,20.703125,46.875,32.343754647754096,423,0.8250591016548463,10.1,7,17.309338617680005
2,29.296875,46.875,33.293925708333326,24,0.5,11.2,7,17.309338617680005
1,20.703125,46.875,32.343754647754096,423,0.8250591016548463,10.1,8,17.80779250578179
2,29.296875,46.875,33.293925708333326,24,0.5,11.2,8,17.80779250578179
1,20.703125,46.875,32.343754647754096,423,0.8250591016548463,10.1,9,17.80779250578179
2,29.296875,46.875,33.293925708333326,24,0.5,11.2,9,17.80779250578179
1,20.703125,46.875,32.343754647754096,423,0.8250591016548463,10.1,10,18.707141319328482
2,29.296875,46.875,33.293925708333326,24,0.5,11.2,10,18.707141319328482
1,20.703125,46.875,32.343754647754096,423,0.8250591016548463,10.1,11,18.707141319328482
2,29.296875,46.875,33.293925708333326,24,0.5,11.2,11,18.707141319328482
1,20.703125,46.875,32.343754647754096,423,0.8250591016548463,10.1,12,18.833886471571414
2,29.296875,46.875,33.293925708333326,24,0.5,11.2,12,18.833886471571414
